passed,Molecular mass,LogP,H-Donors,H-Acceptors,molecule_name,canonical_smiles,pIC50
True,370.4560000000002,5.587900000000003,1,5,CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.494850021680094
True,411.2920000000001,5.528800000000003,1,5,CHEMBL322298,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.698970004336019
True,401.8460000000001,3.304600000000001,3,6,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,5.119186407719209
True,343.386,4.658000000000003,2,5,CHEMBL14932,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.008773924307505
True,453.34400000000034,3.817800000000002,1,7,CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,8.431798275933005
True,340.184,4.012200000000001,2,4,CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812
True,364.4530000000001,3.8108400000000016,3,5,CHEMBL57323,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,6.214670164989233
True,238.179,2.008399999999999,3,2,CHEMBL26001,O=P(O)(O)C(O)c1ccc2ccccc2c1,3.6020599913279625
True,336.39900000000006,3.194000000000001,3,5,CHEMBL76599,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1ccccc1,5.257274868695301
True,453.3450000000003,4.974700000000005,2,6,CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,6.522878745280337
True,429.3220000000003,3.275000000000001,2,7,CHEMBL128987,Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,7.443697499232713
True,280.3310000000001,3.1111000000000013,2,5,CHEMBL355330,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCC1,6.522878745280337
True,339.1960000000001,4.617200000000001,2,3,CHEMBL153525,Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764
True,368.4120000000002,3.6308000000000016,1,6,CHEMBL97162,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,7.080921907623926
True,353.4260000000002,2.0153,3,7,CHEMBL169780,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCN(CCO)CC1,5.595166283380062
True,396.4510000000002,2.6786000000000003,3,9,CHEMBL113185,COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC,5.292429823902063
True,377.828,3.8296000000000032,1,7,CHEMBL543661,COc1cc(Nc2ncnc3cc(OC)c(OC)cc23)cc(OC)c1.Cl,5.522878745280337
True,292.16900000000004,4.4486000000000026,1,3,CHEMBL555321,Cl.Clc1cccc(Nc2ncnc3ccccc23)c1,7.301029995663981
True,335.81600000000014,3.705720000000001,2,4,CHEMBL131577,Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,5.0
True,450.8980000000004,2.839900000000001,3,8,CHEMBL56505,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(CCO)CCO,7.455931955649724
True,272.687,3.819000000000001,1,3,CHEMBL7699,O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,4.230622673923862
True,315.7600000000001,4.044000000000002,1,5,CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,6.920818753952375
True,259.26500000000004,1.8472,2,6,CHEMBL414013,COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,4.1249387366083
True,395.47,4.232400000000002,1,7,CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,9.0
True,342.4270000000001,5.583200000000002,2,4,CHEMBL76432,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,7.167491087293763
True,300.36500000000007,3.9781200000000014,1,4,CHEMBL174634,Cc1ccccc1-c1cn(-c2ccccc2)c2ncnc(N)c12,5.576754126063192
True,374.2420000000001,2.9594000000000005,2,6,CHEMBL161956,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177792
True,330.189,3.572600000000002,2,5,CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056
True,265.32,3.118520000000001,2,5,CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486224656
True,417.5130000000001,3.1449000000000007,2,7,CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,5.0
True,353.3970000000001,3.4559000000000024,1,5,CHEMBL22978,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,6.098541678603888
True,445.36500000000007,3.645500000000001,3,7,CHEMBL433520,CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.337242168318426
True,267.245,-1.9800000000000009,4,9,CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.709965388637482
True,466.5410000000003,4.354000000000003,2,6,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.309803919971486
True,405.2890000000001,4.500800000000003,3,5,CHEMBL57366,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,6.346787486224656
True,392.5070000000002,4.427680000000001,3,5,CHEMBL56236,Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,5.175223537524454
True,392.48400000000015,5.294300000000003,1,7,CHEMBL126192,CCOc1cc2ncnc(Nc3cccc(-c4nccs4)c3)c2cc1OCC,8.698970004336019
True,406.5110000000002,5.602720000000004,1,7,CHEMBL126456,CCOc1cc2ncnc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,5.318758762624412
True,395.4660000000001,4.867220000000004,1,5,CHEMBL278287,Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.309803919971486
True,309.3690000000001,3.5675200000000027,1,5,CHEMBL93173,COc1cc2ncnc(NCc3cccc(C)c3)c2cc1OC,6.769551078621726
True,360.2110000000001,4.153100000000003,1,5,CHEMBL328106,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,9.017728766960431
True,385.90300000000025,3.9250000000000007,3,7,CHEMBL367625,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,5.292429823902063
True,341.172,3.4072000000000005,2,5,CHEMBL172652,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.387216143280265
True,337.8100000000001,4.599400000000003,2,3,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,5.136677139879544
True,130.15,1.6297999999999997,0,2,CHEMBL301359,c1ccc2ncncc2c1,7.568636235841013
True,344.216,3.596900000000001,1,5,CHEMBL53796,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.494850021680094
True,360.2110000000001,4.153100000000003,1,5,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.537602002101044
True,304.345,4.512800000000004,1,3,CHEMBL358092,COC(=O)c1ccc(-c2ccc(-c3ccccc3)cc2O)cc1,4.853871964321762
True,321.1670000000001,2.8845,1,5,CHEMBL49596,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5.251811972993799
True,371.3620000000001,4.964800000000003,2,3,CHEMBL153843,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,4.982966660701219
True,475.3620000000003,4.426100000000003,1,5,CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,6.301029995663981
True,472.6330000000001,6.993500000000007,1,5,CHEMBL2111784,C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,5.958607314841775
True,373.24300000000005,5.483940000000003,3,4,CHEMBL27085,Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cccc4Cl)nc32)c1C,4.0
True,303.362,2.3624,2,6,CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,5.431798275933005
True,263.30400000000003,3.1900200000000014,2,4,CHEMBL75208,Cc1[nH]c2ncnc(Nc3cccc(C#N)c3)c2c1C,6.698970004336019
True,313.72300000000007,3.813600000000002,1,5,CHEMBL181275,Fc1ccc(Nc2ncnc3nn4ccccc4c23)cc1Cl,6.698970004336019
